supplier_reference,supplier_name,supplier_trn,supply_reference,supply_date,amount_excluding_vat,input_vat,expected_next_12m,last_verified_on
SYN-0001,Synthetic Supplier 0001 LLC,900000000000001,SYN-0001-INV-01,2025-12-01,8640.14,432.01,22631.14,2026-02-02
SYN-0001,Synthetic Supplier 0001 LLC,900000000000001,SYN-0001-INV-02,2026-01-17,7867.53,393.38,22631.14,2026-02-02
SYN-0001,Synthetic Supplier 0001 LLC,900000000000001,SYN-0001-INV-03,2026-03-05,8638.04,431.9,22631.14,2026-02-02
SYN-0002,Synthetic Supplier 0002 LLC,900000000000002,SYN-0002-INV-01,2025-12-14,5521.14,276.06,21343.98,2025-03-03
SYN-0002,Synthetic Supplier 0002 LLC,900000000000002,SYN-0002-INV-02,2026-01-30,6175.81,308.79,21343.98,2025-03-03
SYN-0002,Synthetic Supplier 0002 LLC,900000000000002,SYN-0002-INV-03,2026-03-18,5542.28,277.11,21343.98,2025-03-03
SYN-0002,Synthetic Supplier 0002 LLC,900000000000002,SYN-0002-INV-04,2026-05-04,6476.29,323.81,21343.98,2025-03-03
SYN-0003,Synthetic Supplier 0003 LLC,900000000000003,SYN-0003-INV-01,2025-12-27,1022.82,51.14,4803.7,2026-04-04
SYN-0003,Synthetic Supplier 0003 LLC,900000000000003,SYN-0003-INV-02,2026-02-12,1586.98,79.35,4803.7,2026-04-04
SYN-0003,Synthetic Supplier 0003 LLC,900000000000003,SYN-0003-INV-03,2026-03-31,981.52,49.08,4803.7,2026-04-04
SYN-0003,Synthetic Supplier 0003 LLC,900000000000003,SYN-0003-INV-04,2026-05-17,824.71,41.24,4803.7,2026-04-04
SYN-0003,Synthetic Supplier 0003 LLC,900000000000003,SYN-0003-INV-05,2026-07-03,921.4,46.07,4803.7,2026-04-04
SYN-0004,Synthetic Supplier 0004 LLC,900000000000004,SYN-0004-INV-01,2026-01-09,9723.54,486.18,17788.48,2025-05-05
SYN-0004,Synthetic Supplier 0004 LLC,900000000000004,SYN-0004-INV-02,2026-02-25,10041.44,502.07,17788.48,2025-05-05
SYN-0005,Synthetic Supplier 0005 LLC,900000000000005,SYN-0005-INV-01,2026-01-22,6461.96,323.1,21612.6,
SYN-0005,Synthetic Supplier 0005 LLC,900000000000005,SYN-0005-INV-02,2026-03-10,10289.36,514.47,21612.6,
SYN-0005,Synthetic Supplier 0005 LLC,900000000000005,SYN-0005-INV-03,2026-04-26,7262.67,363.13,21612.6,
SYN-0006,Synthetic Supplier 0006 LLC,900000000000006,SYN-0006-INV-01,2026-02-04,6341.1,317.06,21594.06,2025-07-07
SYN-0006,Synthetic Supplier 0006 LLC,900000000000006,SYN-0006-INV-02,2026-03-23,6879.81,343.99,21594.06,2025-07-07
SYN-0006,Synthetic Supplier 0006 LLC,900000000000006,SYN-0006-INV-03,2026-05-09,6405.65,320.28,21594.06,2025-07-07
SYN-0006,Synthetic Supplier 0006 LLC,900000000000006,SYN-0006-INV-04,2026-06-25,4366.84,218.34,21594.06,2025-07-07
SYN-0007,Synthetic Supplier 0007 LLC,900000000000007,SYN-0007-INV-01,2026-02-17,2397.11,119.86,69730.16,2026-08-08
SYN-0007,Synthetic Supplier 0007 LLC,900000000000007,SYN-0007-INV-02,2026-04-05,3825.14,191.26,69730.16,2026-08-08
SYN-0007,Synthetic Supplier 0007 LLC,900000000000007,SYN-0007-INV-03,2026-05-22,3978.93,198.95,69730.16,2026-08-08
SYN-0007,Synthetic Supplier 0007 LLC,900000000000007,SYN-0007-INV-04,2026-07-08,2808.12,140.41,69730.16,2026-08-08
SYN-0007,Synthetic Supplier 0007 LLC,900000000000007,SYN-0007-INV-05,2026-08-24,2486.29,124.31,69730.16,2026-08-08
SYN-0008,Synthetic Supplier 0008 LLC,900000000000008,SYN-0008-INV-01,2026-03-02,2921.01,146.05,7016.45,2025-09-09
SYN-0008,Synthetic Supplier 0008 LLC,900000000000008,SYN-0008-INV-02,2026-04-18,4875.04,243.75,7016.45,2025-09-09
SYN-0009,Synthetic Supplier 0009 LLC,900000000000009,SYN-0009-INV-01,2026-03-15,3187.85,159.39,9175.69,2026-01-10
SYN-0009,Synthetic Supplier 0009 LLC,900000000000009,SYN-0009-INV-02,2026-05-01,2238.9,111.95,9175.69,2026-01-10
SYN-0009,Synthetic Supplier 0009 LLC,900000000000009,SYN-0009-INV-03,2026-06-17,4768.46,238.42,9175.69,2026-01-10
SYN-0010,Synthetic Supplier 0010 LLC,900000000000010,SYN-0010-INV-01,2026-03-28,1555.56,77.78,6456.03,
SYN-0010,Synthetic Supplier 0010 LLC,900000000000010,SYN-0010-INV-02,2026-05-14,1589.28,79.46,6456.03,
SYN-0010,Synthetic Supplier 0010 LLC,900000000000010,SYN-0010-INV-03,2026-06-30,2403.44,120.17,6456.03,
SYN-0010,Synthetic Supplier 0010 LLC,900000000000010,SYN-0010-INV-04,2026-08-16,1625.09,81.25,6456.03,
SYN-0011,Synthetic Supplier 0011 LLC,900000000000011,SYN-0011-INV-01,2026-04-10,4776.63,238.83,18742.41,2026-03-12
SYN-0011,Synthetic Supplier 0011 LLC,900000000000011,SYN-0011-INV-02,2026-05-27,5171.12,258.56,18742.41,2026-03-12
SYN-0011,Synthetic Supplier 0011 LLC,900000000000011,SYN-0011-INV-03,2026-07-13,3769.6,188.48,18742.41,2026-03-12
SYN-0011,Synthetic Supplier 0011 LLC,900000000000011,SYN-0011-INV-04,2026-08-29,4131.26,206.56,18742.41,2026-03-12
SYN-0011,Synthetic Supplier 0011 LLC,900000000000011,SYN-0011-INV-05,2025-10-20,2976.3,148.81,18742.41,2026-03-12
SYN-0012,Synthetic Supplier 0012 LLC,900000000000012,SYN-0012-INV-01,2026-04-23,3625.4,181.27,6787.65,2025-04-13
